interarrivaltime, count
0, 344337
1, 406239
2, 268545
3, 264934
4, 286556
5, 181942
6, 115466
7, 87145
8, 60909
9, 36567
10, 20222
11, 11907
12, 8007
13, 6015
14, 4946
15, 4356
16, 3571
17, 2604
18, 1911
19, 1427
20, 974
21, 654
22, 533
23, 699
24, 1004
25, 1517
26, 1754
27, 1673
28, 1364
29, 851
30, 600
31, 409
32, 279
33, 197
34, 142
35, 110
36, 115
37, 111
38, 112
39, 98
40, 92
41, 82
42, 68
43, 45
44, 52
45, 45
46, 28
47, 21
48, 25
49, 24
50, 14
51, 15
52, 16
53, 16
54, 4
55, 7
56, 6
57, 5
58, 10
59, 6
60, 5
61, 3
62, 8
63, 3
64, 5
65, 2
66, 3
67, 7
68, 3
69, 1
70, 2
71, 2
72, 4
73, 15
74, 21
75, 40
76, 43
77, 39
78, 35
79, 32
80, 38
81, 37
82, 36
83, 40
84, 36
85, 39
86, 26
87, 25
88, 31
89, 22
90, 13
91, 24
92, 16
93, 11
94, 11
95, 7
96, 10
97, 3
98, 9
99, 10
100, 5
101, 5
102, 3
103, 4
104, 6
105, 1
106, 4
107, 1
108, 2
109, 1
110, 7
111, 2
112, 1
113, 5
114, 4
115, 1
116, 2
117, 2
118, 0
119, 1
120, 3
121, 1
122, 2
123, 2
124, 3
125, 5
126, 5
127, 6
128, 3
129, 5
130, 1
131, 3
132, 5
133, 6
134, 1
135, 5
136, 3
137, 2
138, 1
139, 3
140, 2
141, 5
142, 1
143, 2
144, 3
145, 2
146, 3
147, 1
148, 1
149, 0
150, 1
151, 2
152, 0
153, 1
154, 0
155, 0
156, 1
157, 2
158, 1
159, 0
160, 1
161, 2
162, 1
163, 0
164, 2
165, 0
166, 0
167, 0
168, 0
169, 0
170, 1
171, 3
172, 2
173, 1
174, 3
175, 4
176, 2
177, 1
178, 1
179, 2
180, 2
181, 0
182, 1
183, 3
184, 2
185, 1
186, 2
187, 1
188, 2
189, 0
190, 1
191, 2
192, 3
193, 1
194, 2
195, 0
196, 4
197, 0
198, 0
199, 2
200, 0
201, 0
202, 0
203, 0
204, 0
205, 0
206, 0
207, 4
208, 0
209, 0
210, 2
211, 0
212, 0
213, 1
214, 0
215, 0
216, 0
217, 0
218, 0
219, 1
220, 2
221, 0
222, 0
223, 0
224, 1
225, 0
226, 2
227, 2
228, 0
229, 3
230, 2
231, 1
232, 1
233, 2
234, 5
235, 1
236, 0
237, 0
238, 2
239, 1
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 0
247, 1
248, 0
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
255, 0
256, 1
257, 0
258, 0
259, 0
260, 0
261, 0
262, 0
263, 0
264, 0
265, 0
266, 0
267, 0
268, 0
269, 0
270, 0
271, 1
272, 0
273, 1
274, 0
275, 0
276, 0
277, 1
278, 0
279, 2
280, 0
281, 2
282, 0
283, 0
284, 0
285, 0
286, 0
287, 0
288, 0
289, 0
290, 0
291, 1
292, 0
293, 0
294, 1
295, 0
296, 0
297, 0
298, 0
299, 0
300, 0
301, 0
302, 0
303, 0
304, 0
305, 0
306, 0
307, 0
308, 0
309, 0
310, 1
311, 0
312, 0
313, 0
314, 1
315, 0
316, 0
317, 0
318, 0
319, 0
320, 0
321, 0
322, 1
323, 0
324, 0
325, 0
326, 0
327, 0
328, 0
329, 0
330, 0
331, 0
332, 0
333, 0
334, 0
335, 1
336, 0
337, 0
338, 0
339, 1
340, 0
341, 0
342, 0
343, 0
344, 0
345, 0
346, 0
347, 0
348, 0
349, 1
350, 0
351, 0
352, 0
353, 0
354, 0
355, 0
356, 0
357, 0
358, 0
359, 0
360, 0
361, 0
362, 0
363, 0
364, 0
365, 0
366, 0
367, 0
368, 0
369, 0
370, 0
371, 0
372, 0
373, 0
374, 0
375, 0
376, 0
377, 0
378, 0
379, 0
380, 0
381, 0
382, 0
383, 0
384, 0
385, 0
386, 0
387, 0
388, 0
389, 0
390, 0
391, 0
392, 0
393, 0
394, 0
395, 0
396, 0
397, 0
398, 0
399, 0
400, 0